brand,price,thickness,weight,screen_size,ppi,threads,ram,antiglare,touch_screen,cores,battery_capacity,battery_cell,hdmi,ethernet,multi_card_reader,thunderbolt,display_port,vga,backlit,fingerprint_sensor,usb2,usb3,typec,processor_gen,processor_brand,processor_model,graphics_brand,graphics_capacity,graphics_model,everyday_use,business,performance,gaming,hdd,ssd,popularity,quality_type,ppi_type
Acer,25990,medium,lite,14.0,157,4.0,8,1,0,2.0,45.5,2.0,1,1,0,0,0,0,0,0,1.0,3.0,1.0,11.0,intel,i3,intel,0.0,Integrated,1,0,0,0,,512.0,popular,low,high
Wings,34990,medium,medium,15.6,141,8.0,8,1,0,4.0,17.85,2.0,1,0,0,0,0,0,1,0,1.0,2.0,1.0,11.0,intel,i5,intel,0.0,Integrated,0,1,0,0,,512.0,regular,high,medium
MSI,49990,medium,medium,15.6,141,12.0,16,1,0,8.0,51.0,3.0,1,1,0,1,0,0,1,0,0.0,3.0,1.0,12.0,intel,i5,intel,4.0,Integrated,0,0,1,0,,512.0,regular,low,medium
Acer,79745,thick,heavy,15.6,141,12.0,8,1,0,8.0,86.0,6.0,1,1,0,0,0,0,1,0,0.0,3.0,1.0,13.0,intel,i5,nvidia,6.0,rtx4050,0,0,0,1,,512.0,regular,medium,medium
Acer,35990,medium,medium,15.6,141,12.0,16,1,0,6.0,36.0,3.0,1,1,1,0,0,0,0,0,1.0,2.0,1.0,5.0,amd,5,intel,0.0,Integrated,0,0,1,0,,512.0,regular,low,medium
HP,92221,thick,heavy,16.1,137,16.0,16,1,0,8.0,70.0,4.0,1,1,0,1,0,0,1,0,0.0,3.0,1.0,7.0,amd,7,nvidia,6.0,rtx3050,0,0,0,1,,1024.0,popular,medium,low
Wings,45990,slim,lite,14.0,157,8.0,16,1,0,4.0,17.85,2.0,1,0,0,0,0,0,1,0,1.0,2.0,2.0,11.0,intel,i7,intel,0.0,Integrated,0,1,0,0,,512.0,regular,low,high
HP,37650,slim,medium,15.6,141,4.0,8,1,0,2.0,41.0,3.0,1,0,1,0,0,0,0,0,0.0,2.0,1.0,11.0,intel,i3,intel,0.0,Integrated,1,0,0,0,,512.0,popular,low,medium
Asus,49990,medium,medium,16.0,283,12.0,8,1,0,6.0,50.0,3.0,1,0,0,0,0,0,1,1,1.0,2.0,1.0,5.0,amd,5,amd,0.0,Integrated,0,0,0,1,,512.0,popular,low,high
MSI,28990,medium,lite,14.0,157,4.0,8,1,0,2.0,50.0,3.0,1,0,0,0,0,0,1,0,2.0,1.0,1.0,11.0,intel,i3,intel,0.0,Integrated,0,0,1,0,,512.0,popular,low,high
